"target_auc","auc_mean","auc_sd","auc_q025","auc_q50","auc_q975","cor_mean","cor_sd","cor_q025","cor_q50","cor_q975"
0.5,0.499608637095805,0.0201358398769331,0.459756220699603,0.499622550787354,0.539459189806467,-0.000492651435290466,0.0317108298692336,-0.0627240091047859,-0.000377094906346187,0.0611908922027526
0.51,0.509745213126578,0.0198484673889852,0.470954922466643,0.509618944584686,0.549191128741435,0.0157591950768708,0.0313388399690377,-0.0452665054795671,0.015455541023298,0.0772183654871391
0.52,0.520055024882798,0.0201875628877196,0.479865007813439,0.520293304483712,0.559193773290059,0.0325009335843177,0.0317751526341218,-0.0306117833108272,0.0327857247787454,0.0948122260554279
0.53,0.530040178386825,0.0198300132083323,0.49090010818608,0.530210361822334,0.568638778699363,0.0485413736719803,0.0313606177395735,-0.0144386980671215,0.048732120406703,0.109329497091742
0.54,0.54016324750571,0.0202303493374915,0.500487318187282,0.540346195456185,0.579248827984133,0.0648260228444627,0.0320471884231732,0.00224946346803946,0.0651629441619548,0.127098839481784
0.55,0.54996860391874,0.0198610665434007,0.510724125495853,0.549962735905758,0.588447890371439,0.0806967526184677,0.0313102372965056,0.0195904222318871,0.0809618933110615,0.141628323020273
0.56,0.559863303281644,0.0196952591921891,0.521639620146652,0.560117802620507,0.597995552350042,0.0966998830835062,0.0309734094447859,0.0360803790599648,0.0970505419845481,0.157365248248936
0.57,0.570020724125496,0.0198673308419984,0.530433104940498,0.570253636254358,0.60809796850583,0.113011686204432,0.0313179503602891,0.0512774378082037,0.113354325380104,0.172897818587777
0.58,0.580130953720399,0.0196921897995769,0.540405818006972,0.58010097367472,0.618004087029691,0.12929937641956,0.0310493634655152,0.0658453987499899,0.129351899776696,0.189435706023535
0.59,0.590090554153143,0.0195796931997686,0.55176235124414,0.590210361822334,0.627825700204351,0.145412615262159,0.0306445654482846,0.085703101628843,0.145627043848563,0.204848919502835
0.6,0.599959065272268,0.0195472702813031,0.561109147734103,0.599925471811516,0.638029931482149,0.161229741962978,0.0306502234759763,0.100532638375164,0.161341732990459,0.220295591797464
0.61,0.609606198341147,0.0195121887620451,0.571356773650679,0.609681452097608,0.647203029210242,0.176822907727223,0.0304301095428193,0.117530214324667,0.177105232397978,0.235889731657778
0.62,0.620071135473014,0.0192223080374232,0.582507152301959,0.61999038345955,0.657094722923428,0.193426214796575,0.0302318827300155,0.13393063242903,0.193545169956408,0.251933985927433
0.63,0.630056154826301,0.019140090857658,0.59179636975598,0.630407500901551,0.666952037504508,0.209545955832408,0.0298974294942241,0.149906137689442,0.210079395398439,0.267093890606589
0.64,0.640027991825941,0.0189192444923984,0.602524341868013,0.640358216131747,0.67652470248828,0.225345022699747,0.0294997202092986,0.167116228999651,0.225889913498665,0.28239431896597
0.65,0.650149320351004,0.0190020893475721,0.612173458348359,0.650395480225989,0.686731698521457,0.24151585008752,0.0295498246266485,0.181990405031228,0.242059982463966,0.298110867272784
0.66,0.660220555836038,0.0186451851439744,0.622502223824979,0.66051208077894,0.696021156388989,0.257515031141615,0.0290294249236403,0.198976484740729,0.257943587878775,0.31358951287135
0.67,0.66994263541291,0.0185901519484121,0.633743839403775,0.670042072364467,0.706375766318067,0.272942710063946,0.0288753062460231,0.216083486660773,0.273088872970453,0.329164949193508
0.68,0.679719314821493,0.0183544807501906,0.643211203269624,0.679810073326121,0.714879432624113,0.288412982839337,0.0283651343642112,0.231988645224807,0.288675260853931,0.342548702881985
0.69,0.689933702608487,0.0183107454629117,0.654207597066955,0.69018632047121,0.726265536723164,0.304519782011172,0.0282161813460977,0.249148230723286,0.304999661973973,0.359707880242284
0.7,0.700317524702488,0.0179116552665556,0.664983291260969,0.700259646592138,0.73456941940137,0.320917739527384,0.027550702547528,0.266566058271755,0.321088702056441,0.3743277540228
0.71,0.710264076451497,0.0179188522212586,0.67492234643587,0.710268061065032,0.744499819689866,0.336601899630606,0.0276134073445656,0.282034113847922,0.336750593185134,0.38968816860491
0.72,0.719944678927756,0.0175550510930162,0.685375045077533,0.719800456785671,0.754110229594903,0.35195498878778,0.0269644534382647,0.298847571209973,0.351887861544038,0.403750406567514
0.73,0.730018270946027,0.0172513934108432,0.695838321913692,0.730304123091718,0.763496213487198,0.367648267852121,0.0264547679390368,0.315232280937943,0.368113223845722,0.418999084837976
0.74,0.739708082702248,0.017084181492217,0.705569299194615,0.739841327082582,0.772583363385022,0.382936249987121,0.0262845502450128,0.330736382310972,0.383239647905394,0.433149770638866
